D33I06	D33I07	D33I08	D33I10	D33J01	D34G04	D34G05	D34G06	D34G07	D34G09	D34G10
LOC113007147	3695	2212	533	6189	12146	13756	11223	1901	7917	13502	8344
LOC113007149	37	79	49	108	104	624	944	283	72	433	125
LOC113007150	16	22	25	24	35	120	29	30	4	37	16
LOC113007151	0	0	0	0	0	0	0	0	0	0	0
LOC113007152	4	0	6	10	9	10	7	3	0	3	5
LOC113007153	0	0	0	0	0	0	4	0	0	1	0
LOC113007156	0	0	0	0	0	0	0	0	0	0	0
LOC113007157	0	24	9	1	15	50	20	0	0	9	0
LOC113007158	0	0	0	0	0	0	0	0	0	0	0
LOC113007159	0	0	0	0	9	4	2	0	0	0	0
LOC113007161	26	43	54	21	80	209	157	93	56	248	22
LOC113007163	86	113	23	60	236	358	433	21	3	116	14
LOC113007168	0	4	8	2	0	40	2	15	11	35	5
LOC113007171	200	98	6	109	253	322	279	24	38	122	19
LOC113007172	10	0	8	6	3	0	0	21	0	0	0
LOC113007177	21	26	0	17	44	160	67	4	5	69	5
LOC113007267	0	0	0	0	0	0	0	0	0	0	0
LOC113007270	0	0	0	0	0	0	0	0	0	0	0
LOC113007272	37	14	0	7	33	28	21	3	0	4	0
LOC113007273	33	20	10	72	67	74	20	20	5	20	0
LOC113007275	238	100	257	228	149	1298	647	565	96	799	97
LOC113007277	0	3	3	0	0	0	0	0	0	0	0
LOC113007282	0	0	0	0	0	0	0	0	0	0	0
LOC113007284	0	13	0	4	1	0	4	6	0	15	0
LOC113007285	23	2	0	8	56	78	112	7	0	40	6
LOC113007288	0	1	0	15	19	0	29	11	1	16	0
LOC113007291	1077	976	1109	801	1452	1925	876	1209	504	1074	483
LOC113007294	60	22	21	30	9	75	11	40	14	54	4
LOC113007297	0	0	0	0	0	0	0	0	0	0	0
LOC113007299	0	1	0	0	0	0	0	0	0	0	0
LOC113007300	0	0	0	3	2	2	10	0	0	0	0
LOC113007301	0	0	0	0	0	0	0	0	0	0	0
LOC113007307	60	18	73	21	49	178	142	55	27	106	33
LOC113007310	0	0	0	0	0	0	0	0	0	0	0
LOC113007311	0	0	0	0	0	0	0	0	0	0	0
LOC113007312	0	0	0	0	1	0	0	0	0	0	0
LOC113007313	1	32	4	17	79	91	91	43	54	47	34
LOC113007315	42	39	44	78	45	689	201	143	5	239	27
LOC113007316	0	0	0	0	0	0	0	0	0	0	0
LOC113007317	0	0	0	0	0	0	0	0	0	0	0
